market,slug,clobID,closingDate,outcome,probability7d,probability6d,probability5d,probability4d,probability3d,probability2d,probability1d,volume
Taiwan Presidential Election: Will Ko Wen-je win?,taiwan-presidential-election-will-ko-wen-je-win,89624771373613946647965495837296827477253864231768880615293304214785104026833,2024-01-13T00:00:00Z,True,0.84,0.78,0.75,0.7050000000000001,0.675,0.74,0.84,1356952.12
Taiwan Presidential Election: Will Lai Ching-te win?,taiwan-presidential-election-will-lai-ching-te-win,98661966997180731633724374647350607356911249168444258623641162003303747464415,2024-01-13T00:00:00Z,True,0.75,0.745,0.695,0.66,0.625,0.725,0.745,1809553.58
Taiwan Presidential Election: Will Hou Yu-ih win?,taiwan-presidential-election-will-hou-yu-ih-win,10841546281874468901630677171228835388138482179165442238381702586654083380626,2024-01-13T00:00:00Z,True,0.875,0.89,0.895,0.87,0.88,0.855,0.855,620031.71
Who will get more votes in Taiwan Election: Hou Yu-ih (侯友宜) or Ko Wen-je (柯文哲)?,who-will-get-more-votes-in-taiwan-election-hou-yu-ih-or-ko-wen-je,12727973314120726556723915908201615195553902437551989239427327989648746113749,2024-01-13T00:00:00Z,True,0.645,0.59,0.525,0.515,0.605,0.54,0.71,849344.72
Will there be a US government shutdown by Jan 20?,will-there-be-a-us-government-shutdown-by-jan-20,916652542787015485687061399240227024282948971589640746479868246882796456492,2024-01-20T00:00:00Z,True,0.8049999999999999,0.895,0.945,0.9705,0.9505,0.9815,0.995,124889.43
Will Nikki Haley win the New Hampshire Republican Primary?,will-nikki-haley-win-the-new-hampshire-republican-primary,96325662088023507736757831845503919061640918136788420961329585618451305455811,2024-01-23T00:00:00Z,True,0.675,0.77,0.875,0.905,0.935,0.945,0.971,1305920.99
Will Donald Trump win the New Hampshire Republican Primary?,will-donald-trump-win-the-new-hampshire-republican-primary,95554344590529138183089561969440537186299235132965533328635402810882462531585,2024-01-23T00:00:00Z,True,0.675,0.775,0.875,0.905,0.935,0.945,0.969,1385145.33
Will Vivek Ramaswamy win the New Hampshire Republican Primary?,will-vivek-ramaswamy-win-the-new-hampshire-republican-primary,40656042148436937287340214959354782928098536507969350453688316253614217627773,2024-01-23T00:00:00Z,True,0.9965,0.9985,0.9995,0.9995,0.9995,0.9995,0.9995,381188.35
Will Asa Hutchinson win the New Hampshire Republican Primary?,will-asa-hutchinson-win-the-new-hampshire-republican-primary,84264660759977092050269868718296223921669263095381011871944917216620190452225,2024-01-23T00:00:00Z,True,0.993,0.9985,0.9985,0.9985,0.9995,0.9995,0.9995,497060.76
Will Ron DeSantis win the New Hampshire Republican Primary?,will-ron-desantis-win-the-new-hampshire-republican-primary,56544659390508548397591187677948538687813947616419392306336440172425040748059,2024-01-23T00:00:00Z,True,0.9945,0.9985,0.9985,0.9985,0.9985,0.9985,0.9985,702175.69
Will anyone else win the New Hampshire Republican Primary?,will-anyone-else-win-the-new-hampshire-republican-primary,29094644925421980916374750683906620881395093463647781444836193472477928384355,2024-01-23T00:00:00Z,True,0.9955,0.9985,0.9985,0.9995,0.9995,0.9995,0.9995,833479.61
Finnish Presidential Election: Will Jussi Halla-aho win?,finnish-presidential-election-will-jussi-halla-aho-win,9611440891855216962573376732864510973450533939789064172247923332353980803083,2024-01-26T00:00:00Z,True,0.735,0.94,0.9715,0.9775,0.956,0.961,0.948,103857.34
Finnish Presidential Election: Will Pekka Haavisto win?,finnish-presidential-election-will-pekka-haavisto-win,101925685470120479562062772358573024242588124565238530106669234637628108688549,2024-01-26T00:00:00Z,True,0.86,0.855,0.865,0.86,0.865,0.875,0.865,221233.4
Finnish Presidential Election: Will Alexander Stubb win?,finnish-presidential-election-will-alexander-stubb-win,62471964247263026853388777058136273249949767110527376445244748878335672643018,2024-01-25T00:00:00Z,True,0.85,0.845,0.845,0.855,0.855,0.855,0.855,229590.36
"Will Donald Trump be President of the USA on January 31, 2024?",will-donald-trump-be-president-of-the-usa-on-january-31-2024,54381191852657597827178784272196264743763950412202446487750968931721843279899,2024-01-31T00:00:00Z,True,0.9985,0.9985,0.9935,0.996,0.996,0.996,0.996,116794.76
Another Israel x Hamas ceasefire before February?,another-israel-x-hamas-ceasefire-before-february,101852323921677207905067043654167707234232928180656486374021705662478850203001,2024-01-31T00:00:00Z,True,0.825,0.865,0.875,0.985,0.9695,0.983,0.987,123245.33
Fed rate cut by January 31?,fed-rate-cut-by-january-31,96773553599410207941831696002112734445704248629985632840504836213815480091004,2024-01-31T00:00:00Z,True,0.99,0.989,0.991,0.992,0.991,0.991,0.988,413985.13
Hamas lose power in Gaza before February?,hamas-lose-power-in-gaza-before-february,95577631544298202792999152213340272106857302250588429760823532054585435869773,2024-01-31T00:00:00Z,False,0.795,0.785,0.83,0.77,0.755,0.755,0.635,731344.66
"Will Joe Biden be President of the United States on February 1, 2024?",will-joe-biden-be-president-of-the-united-states-on-february-1-2024,2640288220871975104014777201590982690518915343516812136046668101954677305223,2024-02-01T00:00:00Z,True,0.99,0.99,0.99,0.99,0.99,0.9905,0.9905,250000.87
El Salvador Presidential Election: Will Nayib Bukele win?,el-salvador-presidential-election-will-nayib-bukele-win,24538529094363354210187676123075204536093595413952249429268102908000355720173,2024-02-02T00:00:00Z,True,0.99,0.9895,0.989,0.9885,0.9885,0.9885,0.987,117537.23
Will Nawaz Sharif be next prime minister of Pakistan?,will-nawaz-sharif-be-next-prime-minister-of-pakistan,99729005549705375989899693138477914888235164134940680144100982294213606067708,2024-02-06T00:00:00Z,False,0.935,0.935,0.935,0.945,0.9695,0.9685,0.9685,134062.45
Will Kanye release ‘Vultures’ Vol. 1 by Feb 9?,will-kanye-release-vultures-vol-1-by-feb-9,99131669379454975105279314014946822113196138996904357077332108067748630488681,2024-02-09T00:00:00Z,True,0.8,0.775,0.69,0.72,0.625,0.66,0.81,192214.28
Will the San Francisco 49ers win Super Bowl LVIII?,will-the-san-francisco-49ers-win-super-bowl-lviii,64955247988143243312632765692150787746098735228034515224189452858757703266942,2024-02-10T00:00:00Z,False,0.535,0.535,0.5405,0.54,0.539,0.5395,0.5375,284791.83
Will the Kansas City Chiefs win Super Bowl LVIII?,will-the-kansas-city-chiefs-win-super-bowl-lviii,55877311431823645153390591351288018862446307510133783851927694917217495842921,2024-02-10T00:00:00Z,False,0.5349999999999999,0.5349999999999999,0.5349999999999999,0.5385,0.5385,0.538,0.5365,426345.8
Will Taylor Swift attend the Super Bowl?,will-taylor-swift-attend-the-super-bowl,40331734110229978459914399207414268745918518554420780254796920657982049668465,2024-02-11T00:00:00Z,True,0.9595,0.9605,0.964,0.963,0.962,0.961,0.9565,111034.7
Indonesia Election: Prabowo Subianto wins?,indonesia-election-prabowo-subianto-wins,66651618349280287395011359675694493335697633101128242602626566793238495329822,2024-02-14T00:00:00Z,True,0.915,0.925,0.925,0.935,0.9,0.905,0.915,270567.59
Will US attack Iran by February 15?,will-us-attack-iran-by-february-15,26669700241573375119976961385531980031379324449862873122753762054452038569521,2024-02-15T00:00:00Z,True,0.963,0.9645,0.972,0.9775,0.9815,0.987,0.9895,237401.15
Will Biden drop out by Friday?,will-biden-drop-out-by-next-friday,45824303142415763127719898348848343494924296659761760242986997009674285580707,2024-02-16T00:00:00Z,False,0.5,0.9675,0.975,0.978,0.982,0.99,0.9945,670991.96
Will Trump win the South Carolina Primary by less than 10% of the vote?,will-trump-win-the-south-carolina-primary-by-less-than-10-of-the-vote,78714003545785818631306651379425354328371758218617555518271792198877392503322,2024-02-20T00:00:00Z,True,0.986,0.988,0.9885,0.986,0.986,0.985,0.9845,1109418.39
Will Trump win the South Carolina Primary by between 40-50% of the vote?,will-trump-win-the-south-carolina-primary-by-between-40-50-of-the-vote,96994842501899340266453399430206815558450909116331649953422875668665413477136,2024-02-20T00:00:00Z,True,0.7150000000000001,0.7,0.6799999999999999,0.655,0.73,0.75,0.825,217925.21
Will Trump win the South Carolina Primary by between 30-40% of the vote?,will-trump-win-the-south-carolina-primary-by-between-30-40-of-the-vote,40679484413320655188730853212232637839207562118561411082834988713797651367570,2024-02-20T00:00:00Z,True,0.725,0.7,0.69,0.6,0.6,0.625,0.615,265205.57
Will Trump win the South Carolina Primary by between 20-30% of the vote?,will-trump-win-the-south-carolina-primary-by-between-20-30-of-the-vote,15074515109516425029745234367151170721742969685617701047559849115778605229234,2024-02-20T00:00:00Z,False,0.825,0.825,0.815,0.815,0.76,0.7,0.645,420917.37
Will Trump win the South Carolina Primary by more than 50% of the vote?,will-trump-win-the-south-carolina-primary-by-more-than-50-of-the-vote,61169305160764861587739447565220980104408679367939048141338522425173585998781,2024-02-20T00:00:00Z,True,0.8049999999999999,0.85,0.885,0.905,0.925,0.935,0.94,487250.31
Will Trump win the South Carolina Primary by between 10-20% of the vote?,will-trump-win-the-south-carolina-primary-by-between-10-20-of-the-vote,65623583627383837468351489571599903229185402440126288966321698197995903754849,2024-02-20T00:00:00Z,True,0.969,0.9685,0.965,0.9665,0.9575,0.946,0.942,843811.73
Will another candidate win the South Carolina Republican Primary?,will-another-candidate-win-the-south-carolina-republican-primary,30261450030048925273620452289750763574376636364355343044645603971336302314526,2024-02-21T00:00:00Z,True,0.9995,0.9995,0.9995,0.9985,0.9985,0.9985,0.9985,100521.58
Will Nikki Haley win the South Carolina Republican Primary?,will-nikki-haley-win-the-south-carolina-republican-primary,11560324916978338824352652921191342894837794354888496571323930091115463865957,2024-02-21T00:00:00Z,True,0.991,0.992,0.992,0.9915,0.993,0.9935,0.9935,285432.6
Will Ron DeSantis win the South Carolina Republican Primary?,will-ron-desantis-win-the-south-carolina-republican-primary,95963230771262197747143184613966525073966970765791629690737624994126042314816,2024-02-21T00:00:00Z,True,0.9995,0.9995,0.9995,0.9985,0.9985,0.9985,0.9985,490761.5
Will Donald Trump win the South Carolina Republican Primary?,will-donald-trump-win-the-south-carolina-republican-primary,4748248871462799190242846426884376565680588983709007031763441967358853037407,2024-02-21T00:00:00Z,True,0.9885,0.9895,0.9895,0.9915,0.9915,0.9915,0.991,784485.33
Will Nikki Haley drop out before South Carolina primary?,will-nikki-haley-drop-out-before-south-carolina-primary,34252988339889610371386882813487387787505351466686752442722862257587298959663,2024-02-24T00:00:00Z,True,0.972,0.9735,0.973,0.87,0.9955,0.9925,0.994,649853.54
Will the Blast bridge be exploited by end of February?,will-the-blast-bridge-be-exploited-by-end-of-february,32496282642773945256849175588278538109923985064895607285941411670518842593177,2024-02-28T00:00:00Z,True,0.9755,0.9755,0.9755,0.9755,0.9835,0.985,0.985,161523.24
Will SpaceX's Starship launch before March?,will-spacexs-starship-launch-before-march,49610402264187757796011239157652302173976898131925034689284237340139731321206,2024-02-29T00:00:00Z,True,0.976,0.9765,0.9765,0.989,0.9905,0.9935,0.9955,110285.05
US bank failure in February?,us-bank-failure-in-february,76513991091320468328374388430425101450458745602967018545614493952244566830049,2024-02-29T00:00:00Z,True,0.945,0.95,0.975,0.9735,0.9735,0.9775,0.986,117045.91
Israel x Hamas ceasefire before March?,israel-x-hamas-ceasefire-before-march,92315812498060903455264749597560552139634887067858999561690959120339962665055,2024-02-29T00:00:00Z,True,0.78,0.825,0.81,0.8200000000000001,0.89,0.96,0.975,208098.23
CZ jail before March?,cz-jail-before-march,60174076937390905552690608692814350015122558555297688802719141554197263362452,2024-02-29T00:00:00Z,True,0.9905,0.9905,0.989,0.994,0.9955,0.9965,0.9965,382872.44
Will Israel invade Lebanon before March?,will-israel-invade-lebanon-before-march,103586552421559114637207367194130879158804079990776045703687939459319665794581,2024-02-29T00:00:00Z,True,0.976,0.98,0.9835,0.9885,0.9935,0.9925,0.997,408699.99
Was the Super Bowl rigged?,was-the-super-bowl-rigged,7260811299486708258782448327240905413001364093468167753550341229707551359486,2024-02-29T00:00:00Z,True,0.9975,0.9975,0.9975,0.997,0.9975,0.998,0.998,421416.49
Will Sweden join NATO by February 29?,will-sweden-join-nato-by-february-29,33091512021273356067686125120110875213576615520486971267079207442785690788096,2024-02-29T00:00:00Z,True,0.651,0.6945,0.6915,0.6495,0.6765,0.6205,0.98,429236.59
Will 'Dune: Part Two' gross between $80m-90m opening weekend?,will-dune-part-two-gross-between-80m-90m-opening-weekend,7745365686298750297173425412551336096127167231537484372677759820669680785472,2024-03-01T00:00:00Z,False,0.685,0.59,0.775,0.64,0.625,0.665,0.56,128647.26
Will 'Dune: Part Two' gross between $70m-80m opening weekend?,will-dune-part-two-gross-between-70m-80m-opening-weekend,106622985971924468891381298215613385312819814944379028242090479771411821772830,2024-03-01T00:00:00Z,True,0.74,0.575,0.585,0.605,0.65,0.7050000000000001,0.635,151219.43
Will 2024 have the hottest February on record?,will-2024-have-the-hottest-february-on-record,107181902610899124308970955595498810992750067211931143481947286149176855401229,2024-03-01T00:00:00Z,True,0.66,0.63,0.615,0.68,0.745,0.8,0.74,171982.15
Will 'Dune: Part Two' gross under $70m opening weekend?,will-dune-part-two-gross-under-70m-opening-weekend,114042745012208994033195477433658191881210330974316537349497459343714009765784,2024-03-01T00:00:00Z,True,0.825,0.84,0.835,0.85,0.94,0.94,0.947,196971.51
Will 'Dune: Part Two' gross between $90m-100m opening weekend?,will-dune-part-two-gross-between-90m-100m-opening-weekend,75612479200078616076720255471706622234694562979383690821267829219771373620706,2024-03-01T00:00:00Z,True,0.8049999999999999,0.86,0.88,0.895,0.87,0.81,0.87,376596.01
Will 'Dune: Part Two' gross over $100m opening weekend?,will-dune-part-two-gross-over-100m-opening-weekend,30637845681714148498359907433169105263223689440526909041094893305583115580796,2024-03-01T00:00:00Z,True,0.87,0.87,0.92,0.935,0.84,0.8,0.905,474792.37
Will Trump appear on Maine primary ballot?,will-trump-appear-on-maine-primary-ballot,104406930827040581306227717794754054274594069384981420824675657167574037404900,2024-03-05T00:00:00Z,True,0.978,0.978,0.983,0.989,0.9895,0.99,0.994,121016.43
Will U.S. Supreme Court vote to reinstate Trump on Colorado's 2024 ballot?,will-us-supreme-court-vote-to-reinstate-trump-on-colorados-2024-ballot,38888293815014190785489425634969942957486368638887535872738335252793754658960,2024-03-05T00:00:00Z,True,0.675,0.645,0.55,0.645,0.675,0.665,0.765,244342.63
Will Nikki Haley drop out before Super Tuesday?,will-nikki-haley-drop-out-before-super-tuesday,102936925896308354723293758701625982525715781743770336063363103547905212033937,2024-03-05T00:00:00Z,True,0.915,0.925,0.965,0.9795,0.987,0.993,0.9965,377957.64
