market,slug,clobID,closingDate,outcome,probability48h,probability7d,volume
Will there be a US government shutdown by Jan 20?,will-there-be-a-us-government-shutdown-by-jan-20,916652542787015485687061399240227024282948971589640746479868246882796456492,2024-01-20 19:01:51+00,True,0.9815,0.8049999999999999,124889.43
Will there be a US government shutdown by Jan 20?,will-there-be-a-us-government-shutdown-by-jan-20,916652542787015485687061399240227024282948971589640746479868246882796456492,2024-01-20 19:01:51+00,True,0.9815,0.8049999999999999,124889.43
Will Vivek Ramaswamy win the New Hampshire Republican Primary?,will-vivek-ramaswamy-win-the-new-hampshire-republican-primary,40656042148436937287340214959354782928098536507969350453688316253614217627773,2024-01-24 12:16:59+00,True,0.9995,0.9965,381188.35
Will Asa Hutchinson win the New Hampshire Republican Primary?,will-asa-hutchinson-win-the-new-hampshire-republican-primary,84264660759977092050269868718296223921669263095381011871944917216620190452225,2024-01-24 12:17:35+00,True,0.9995,0.993,497060.76
Will Ron DeSantis win the New Hampshire Republican Primary?,will-ron-desantis-win-the-new-hampshire-republican-primary,56544659390508548397591187677948538687813947616419392306336440172425040748059,2024-01-24 12:17:51+00,True,0.9985,0.9945,702175.69
Will anyone else win the New Hampshire Republican Primary?,will-anyone-else-win-the-new-hampshire-republican-primary,29094644925421980916374750683906620881395093463647781444836193472477928384355,2024-01-24 12:16:03+00,True,0.9995,0.9955,833479.61
Will Vivek Ramaswamy win the New Hampshire Republican Primary?,will-vivek-ramaswamy-win-the-new-hampshire-republican-primary,40656042148436937287340214959354782928098536507969350453688316253614217627773,2024-01-24 12:16:59+00,True,0.9995,0.9965,381188.35
Will Asa Hutchinson win the New Hampshire Republican Primary?,will-asa-hutchinson-win-the-new-hampshire-republican-primary,84264660759977092050269868718296223921669263095381011871944917216620190452225,2024-01-24 12:17:35+00,True,0.9995,0.993,497060.76
Will Ron DeSantis win the New Hampshire Republican Primary?,will-ron-desantis-win-the-new-hampshire-republican-primary,56544659390508548397591187677948538687813947616419392306336440172425040748059,2024-01-24 12:17:51+00,True,0.9985,0.9945,702175.69
Will anyone else win the New Hampshire Republican Primary?,will-anyone-else-win-the-new-hampshire-republican-primary,29094644925421980916374750683906620881395093463647781444836193472477928384355,2024-01-24 12:16:03+00,True,0.9995,0.9955,833479.61
Finnish Presidential Election: Will Jussi Halla-aho win?,finnish-presidential-election-will-jussi-halla-aho-win,9611440891855216962573376732864510973450533939789064172247923332353980803083,2024-01-29 01:16:19+00,True,0.961,0.735,103857.34
Finnish Presidential Election: Will Jussi Halla-aho win?,finnish-presidential-election-will-jussi-halla-aho-win,9611440891855216962573376732864510973450533939789064172247923332353980803083,2024-01-29 01:16:19+00,True,0.961,0.735,103857.34
"Will Donald Trump be President of the USA on January 31, 2024?",will-donald-trump-be-president-of-the-usa-on-january-31-2024,54381191852657597827178784272196264743763950412202446487750968931721843279899,2024-01-31 19:01:12+00,True,0.996,0.9985,116794.76
Another Israel x Hamas ceasefire before February?,another-israel-x-hamas-ceasefire-before-february,101852323921677207905067043654167707234232928180656486374021705662478850203001,2024-02-01 07:05:25+00,True,0.983,0.825,123245.33
Fed rate cut by January 31?,fed-rate-cut-by-january-31,96773553599410207941831696002112734445704248629985632840504836213815480091004,2024-02-01 07:00:53+00,True,0.991,0.99,413985.13
"Will Donald Trump be President of the USA on January 31, 2024?",will-donald-trump-be-president-of-the-usa-on-january-31-2024,54381191852657597827178784272196264743763950412202446487750968931721843279899,2024-01-31 19:01:12+00,True,0.996,0.9985,116794.76
Another Israel x Hamas ceasefire before February?,another-israel-x-hamas-ceasefire-before-february,101852323921677207905067043654167707234232928180656486374021705662478850203001,2024-02-01 07:05:25+00,True,0.983,0.825,123245.33
"Will Joe Biden be President of the United States on February 1, 2024?",will-joe-biden-be-president-of-the-united-states-on-february-1-2024,2640288220871975104014777201590982690518915343516812136046668101954677305223,2024-02-01 19:02:08+00,True,0.9905,0.99,250000.87
Fed rate cut by January 31?,fed-rate-cut-by-january-31,96773553599410207941831696002112734445704248629985632840504836213815480091004,2024-02-01 07:00:53+00,True,0.991,0.99,413985.13
El Salvador Presidential Election: Will Nayib Bukele win?,el-salvador-presidential-election-will-nayib-bukele-win,24538529094363354210187676123075204536093595413952249429268102908000355720173,2024-02-06 02:18:10+00,True,0.9885,0.99,117537.23
"Will Joe Biden be President of the United States on February 1, 2024?",will-joe-biden-be-president-of-the-united-states-on-february-1-2024,2640288220871975104014777201590982690518915343516812136046668101954677305223,2024-02-01 19:02:08+00,True,0.9905,0.99,250000.87
El Salvador Presidential Election: Will Nayib Bukele win?,el-salvador-presidential-election-will-nayib-bukele-win,24538529094363354210187676123075204536093595413952249429268102908000355720173,2024-02-06 02:18:10+00,True,0.9885,0.99,117537.23
Will Nawaz Sharif be next prime minister of Pakistan?,will-nawaz-sharif-be-next-prime-minister-of-pakistan,99729005549705375989899693138477914888235164134940680144100982294213606067708,2024-03-03 14:02:44+00,False,0.9685,0.935,134062.45
Will Nawaz Sharif be next prime minister of Pakistan?,will-nawaz-sharif-be-next-prime-minister-of-pakistan,99729005549705375989899693138477914888235164134940680144100982294213606067708,2024-03-03 14:02:44+00,False,0.9685,0.935,134062.45
Will Taylor Swift attend the Super Bowl?,will-taylor-swift-attend-the-super-bowl,40331734110229978459914399207414268745918518554420780254796920657982049668465,2024-02-12 02:15:58+00,True,0.961,0.9595,111034.7
Will Taylor Swift attend the Super Bowl?,will-taylor-swift-attend-the-super-bowl,40331734110229978459914399207414268745918518554420780254796920657982049668465,2024-02-12 02:15:58+00,True,0.961,0.9595,111034.7
Indonesia Election: Prabowo Subianto wins?,indonesia-election-prabowo-subianto-wins,66651618349280287395011359675694493335697633101128242602626566793238495329822,2024-03-20 16:37:56+00,True,0.905,0.915,270567.59
Will US attack Iran by February 15?,will-us-attack-iran-by-february-15,26669700241573375119976961385531980031379324449862873122753762054452038569521,2024-02-16 07:02:55+00,True,0.987,0.963,237401.15
Indonesia Election: Prabowo Subianto wins?,indonesia-election-prabowo-subianto-wins,66651618349280287395011359675694493335697633101128242602626566793238495329822,2024-03-20 16:37:56+00,True,0.905,0.915,270567.59
Will US attack Iran by February 15?,will-us-attack-iran-by-february-15,26669700241573375119976961385531980031379324449862873122753762054452038569521,2024-02-16 07:02:55+00,True,0.987,0.963,237401.15
Will Trump win the South Carolina Primary by less than 10% of the vote?,will-trump-win-the-south-carolina-primary-by-less-than-10-of-the-vote,78714003545785818631306651379425354328371758218617555518271792198877392503322,2024-02-25 11:02:02+00,True,0.985,0.986,1109418.39
Will Trump win the South Carolina Primary by more than 50% of the vote?,will-trump-win-the-south-carolina-primary-by-more-than-50-of-the-vote,61169305160764861587739447565220980104408679367939048141338522425173585998781,2024-02-25 10:45:07+00,True,0.935,0.8049999999999999,487250.31
Will Trump win the South Carolina Primary by between 10-20% of the vote?,will-trump-win-the-south-carolina-primary-by-between-10-20-of-the-vote,65623583627383837468351489571599903229185402440126288966321698197995903754849,2024-03-01 03:47:57+00,True,0.946,0.969,843811.73
Will another candidate win the South Carolina Republican Primary?,will-another-candidate-win-the-south-carolina-republican-primary,30261450030048925273620452289750763574376636364355343044645603971336302314526,2024-02-25 07:16:15+00,True,0.9985,0.9995,100521.58
Will Trump win the South Carolina Primary by less than 10% of the vote?,will-trump-win-the-south-carolina-primary-by-less-than-10-of-the-vote,78714003545785818631306651379425354328371758218617555518271792198877392503322,2024-02-25 11:02:02+00,True,0.985,0.986,1109418.39
Will Nikki Haley win the South Carolina Republican Primary?,will-nikki-haley-win-the-south-carolina-republican-primary,11560324916978338824352652921191342894837794354888496571323930091115463865957,2024-02-25 07:03:47+00,True,0.9935,0.991,285432.6
Will Trump win the South Carolina Primary by more than 50% of the vote?,will-trump-win-the-south-carolina-primary-by-more-than-50-of-the-vote,61169305160764861587739447565220980104408679367939048141338522425173585998781,2024-02-25 10:45:07+00,True,0.935,0.8049999999999999,487250.31
Will Ron DeSantis win the South Carolina Republican Primary?,will-ron-desantis-win-the-south-carolina-republican-primary,95963230771262197747143184613966525073966970765791629690737624994126042314816,2024-02-25 06:47:24+00,True,0.9985,0.9995,490761.5
Will Donald Trump win the South Carolina Republican Primary?,will-donald-trump-win-the-south-carolina-republican-primary,4748248871462799190242846426884376565680588983709007031763441967358853037407,2024-02-25 07:01:50+00,True,0.9915,0.9885,784485.33
Will Trump win the South Carolina Primary by between 10-20% of the vote?,will-trump-win-the-south-carolina-primary-by-between-10-20-of-the-vote,65623583627383837468351489571599903229185402440126288966321698197995903754849,2024-03-01 03:47:57+00,True,0.946,0.969,843811.73
Will another candidate win the South Carolina Republican Primary?,will-another-candidate-win-the-south-carolina-republican-primary,30261450030048925273620452289750763574376636364355343044645603971336302314526,2024-02-25 07:16:15+00,True,0.9985,0.9995,100521.58
Will Nikki Haley win the South Carolina Republican Primary?,will-nikki-haley-win-the-south-carolina-republican-primary,11560324916978338824352652921191342894837794354888496571323930091115463865957,2024-02-25 07:03:47+00,True,0.9935,0.991,285432.6
Will Ron DeSantis win the South Carolina Republican Primary?,will-ron-desantis-win-the-south-carolina-republican-primary,95963230771262197747143184613966525073966970765791629690737624994126042314816,2024-02-25 06:47:24+00,True,0.9985,0.9995,490761.5
Will Donald Trump win the South Carolina Republican Primary?,will-donald-trump-win-the-south-carolina-republican-primary,4748248871462799190242846426884376565680588983709007031763441967358853037407,2024-02-25 07:01:50+00,True,0.9915,0.9885,784485.33
Will Nikki Haley drop out before South Carolina primary?,will-nikki-haley-drop-out-before-south-carolina-primary,34252988339889610371386882813487387787505351466686752442722862257587298959663,2024-02-24 14:03:04+00,True,0.9925,0.972,649853.54
